               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12779,            0.044067,                   0,                   0,                   0,                   0,                   0,             0.12743,            0.038956,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.12329,            0.047396,                   0,                   0,                   0,                   0,                   0,             0.11713,            0.039902,                   0,            0.091897,          0.00089703,          0.00089703
                   2,             0.11736,            0.043887,                   0,          0.00055556,            0.030303,          0.00028669,          3.8119e-05,             0.10884,            0.041771,                   0,            0.087391,           0.0013908,           0.0013908
                   3,             0.11159,            0.047179,                   0,           0.0012963,            0.070707,          0.00069641,          0.00011865,             0.11084,            0.042263,                   0,            0.082881,           0.0018812,           0.0018812
                   4,             0.11152,            0.044907,                   0,           0.0051852,             0.28283,            0.011918,           0.0026237,             0.09921,            0.042519,                   0,            0.078368,           0.0023683,           0.0023683
                   5,             0.10511,            0.043752,                   0,             0.10691,             0.27273,            0.092696,            0.019847,            0.098059,            0.041428,                   0,            0.073852,           0.0028522,           0.0028522
                   6,             0.10296,            0.044088,                   0,             0.30767,             0.18182,             0.15783,            0.037226,            0.097103,            0.039143,                   0,            0.069333,           0.0033327,           0.0033327
                   7,            0.098571,             0.04271,                   0,             0.25335,             0.23232,             0.17604,            0.054009,            0.098672,            0.034447,                   0,             0.06481,           0.0038099,           0.0038099
                   8,            0.095129,            0.042719,                   0,             0.31037,             0.38384,             0.26413,              0.0772,            0.084015,             0.03508,                   0,            0.060284,           0.0042838,           0.0042838
                   9,            0.089607,            0.037027,                   0,             0.19291,             0.42424,             0.14949,            0.033547,            0.085057,            0.037308,                   0,            0.055754,           0.0047545,           0.0047545
                  10,            0.083198,            0.037175,                   0,              0.2307,             0.45455,             0.19368,             0.05357,            0.089378,            0.042068,                   0,            0.051222,           0.0052218,           0.0052218
                  11,            0.083428,            0.033495,                   0,             0.32914,             0.36364,             0.23051,            0.076227,            0.098399,            0.035748,                   0,            0.046686,           0.0056858,           0.0056858
                  12,            0.087142,             0.03613,                   0,             0.29171,             0.42424,             0.27932,            0.070074,            0.077914,            0.037754,                   0,            0.042147,           0.0061466,           0.0061466
                  13,            0.079615,            0.035933,                   0,             0.37339,             0.31313,             0.25013,            0.046187,            0.085587,            0.031719,                   0,            0.037604,            0.006604,            0.006604
                  14,            0.084457,            0.033015,                   0,             0.46727,             0.46465,             0.36023,             0.12736,            0.083267,             0.02886,                   0,            0.033058,           0.0070581,           0.0070581
                  15,            0.080978,            0.033812,                   0,             0.49455,             0.44444,             0.39512,             0.14905,            0.085431,            0.028318,                   0,            0.028509,           0.0075089,           0.0075089
                  16,            0.080867,            0.032108,                   0,             0.29381,             0.37374,             0.23138,            0.052003,            0.084577,            0.029972,                   0,            0.023956,           0.0079565,           0.0079565
                  17,            0.079389,            0.033587,                   0,             0.25196,             0.49495,             0.21274,             0.06117,            0.076999,             0.03054,                   0,            0.019401,           0.0084007,           0.0084007
                  18,            0.084076,            0.029022,                   0,             0.24827,             0.29693,             0.13687,            0.028366,            0.089445,             0.02478,                   0,            0.014842,           0.0088416,           0.0088416
                  19,            0.085225,            0.028648,                   0,             0.39477,             0.32323,              0.2487,            0.058877,            0.085344,             0.02599,                   0,            0.010279,           0.0092793,           0.0092793
                  20,             0.08028,            0.030846,                   0,             0.37259,             0.43434,             0.36095,             0.11717,            0.079779,            0.027515,                   0,             0.00934,             0.00934,             0.00934
                  21,            0.080331,            0.026365,                   0,             0.28086,             0.50505,             0.23809,            0.081288,              0.0889,            0.024164,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.085049,            0.023734,                   0,             0.23862,             0.34343,             0.17156,            0.046087,             0.08221,            0.023933,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.079328,            0.030859,                   0,               0.475,             0.48437,              0.4202,             0.12945,             0.07523,            0.028036,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.076707,            0.028185,                   0,             0.34585,             0.51515,             0.35772,             0.10306,            0.079889,            0.031668,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.075308,             0.02705,                   0,             0.37036,             0.46465,             0.35907,            0.085975,            0.076383,            0.029684,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.065005,            0.031438,                   0,             0.41852,             0.57576,             0.40541,             0.13336,            0.063453,            0.025856,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.056459,             0.03405,                   0,             0.45448,             0.51515,             0.48638,             0.15101,            0.070441,            0.037169,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.064557,            0.029047,                   0,             0.39796,             0.52525,             0.44311,             0.19396,            0.066996,            0.031479,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.066311,            0.027533,                   0,             0.33153,             0.46465,             0.31734,             0.11041,            0.074636,            0.029343,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.064088,            0.028628,                   0,             0.44915,             0.48485,             0.45761,             0.24225,            0.058577,            0.027725,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.053647,            0.028457,                   0,             0.42188,             0.53535,             0.40831,             0.16473,            0.068587,             0.03038,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.065057,            0.028115,                   0,             0.38112,             0.53535,             0.38506,             0.12082,             0.06283,            0.030104,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.057858,            0.025011,                   0,             0.39395,             0.51515,             0.37181,             0.18926,            0.059373,            0.026546,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.057211,            0.027985,                   0,             0.39785,             0.60067,             0.44848,             0.16407,            0.059106,            0.027386,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.049299,            0.025588,                   0,             0.32156,             0.51515,             0.40251,             0.14878,            0.076945,            0.035925,                   0,            0.008878,            0.008878,            0.008878
                  36,            0.071501,            0.024153,                   0,             0.53366,             0.54545,             0.55548,             0.28492,            0.056086,            0.026623,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.056804,            0.026717,                   0,             0.36016,             0.50505,               0.417,             0.23346,             0.06004,            0.029814,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.055974,            0.027954,                   0,             0.74044,             0.57629,             0.69072,             0.30938,            0.046882,             0.02676,                   0,            0.008779,            0.008779,            0.008779
                  39,             0.04308,            0.023657,                   0,              0.4359,             0.63636,               0.561,             0.21814,            0.059714,            0.031193,                   0,            0.008746,            0.008746,            0.008746
                  40,            0.059402,            0.024093,                   0,             0.75625,             0.54545,             0.66543,             0.37964,            0.046317,             0.02494,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.052427,            0.026387,                   0,             0.61483,             0.53535,             0.59207,             0.17238,            0.056273,            0.028727,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.05223,            0.024026,                   0,             0.66069,             0.71717,             0.74561,             0.37381,            0.049641,             0.02548,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.045238,            0.022139,                   0,             0.67623,             0.57576,             0.66523,             0.19429,            0.059184,            0.030485,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.061309,            0.024439,                   0,             0.47472,             0.54545,             0.46672,             0.26088,            0.047698,            0.024645,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.049728,            0.025238,                   0,             0.44483,             0.76768,             0.58353,             0.27398,            0.047134,            0.026096,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.047676,            0.024242,                   0,             0.60923,             0.55556,             0.62815,             0.35312,            0.044868,            0.025743,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.039256,            0.021905,                   0,             0.45617,             0.61616,             0.51688,             0.27986,            0.057645,            0.029554,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.052994,            0.028369,                   0,             0.58559,             0.58586,             0.61932,             0.33752,            0.046412,            0.023502,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.048523,            0.023459,                   0,             0.88518,             0.57576,             0.75151,              0.3706,            0.047981,             0.02363,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.049746,            0.021448,                   0,             0.50049,             0.76768,             0.62387,             0.33272,            0.046261,            0.024244,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.039635,             0.02423,                   0,             0.68447,             0.57576,             0.65316,             0.39242,            0.058234,            0.025303,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.056345,             0.02146,                   0,             0.43179,             0.79798,             0.56448,             0.29079,            0.041741,            0.025146,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.045436,             0.02313,                   0,             0.72367,             0.62626,              0.7479,             0.44828,            0.046013,            0.023479,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.044515,            0.024429,                   0,             0.71047,             0.71717,             0.76357,             0.42669,            0.038256,            0.022816,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.034616,             0.02178,                   0,             0.81582,             0.65657,             0.76613,             0.35558,             0.04603,            0.025012,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.049108,            0.021588,                   0,             0.75843,             0.60257,             0.74596,             0.39574,            0.042301,            0.024279,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.042958,            0.019334,                   0,             0.76872,             0.71717,             0.80369,             0.47287,            0.039468,            0.022982,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.045438,            0.019705,                   0,             0.82786,             0.76768,              0.8379,             0.45078,            0.044747,             0.02368,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.040035,            0.020596,                   0,             0.73805,             0.76842,             0.80822,             0.49541,            0.043937,            0.023174,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.046521,            0.021558,                   0,             0.53311,             0.75758,             0.67209,             0.34011,            0.041472,            0.024151,                   0,            0.008053,            0.008053,            0.008053
                  61,             0.04264,            0.022068,                   0,             0.69515,             0.63636,             0.70767,             0.36628,            0.040797,            0.023582,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.040347,            0.020503,                   0,             0.74697,             0.80514,             0.81137,             0.45389,            0.037644,            0.022932,                   0,            0.007987,            0.007987,            0.007987
                  63,             0.03385,            0.022032,                   0,             0.71042,             0.63636,             0.69138,             0.39746,            0.046315,            0.023989,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.048028,            0.020492,                   0,             0.63776,             0.67578,             0.67476,             0.35668,            0.039161,            0.023249,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.040249,            0.022031,                   0,             0.80845,             0.70707,             0.81025,             0.50002,            0.038778,            0.022619,                   0,            0.007888,            0.007888,            0.007888
                  66,            0.037782,             0.02038,                   0,             0.81756,             0.79798,             0.81807,             0.48022,            0.033168,            0.022337,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.030859,             0.01976,                   0,             0.85635,             0.72264,             0.80848,             0.40437,            0.041379,            0.023554,                   0,            0.007822,            0.007822,            0.007822
                  68,             0.04397,            0.020186,                   0,             0.82699,             0.78788,             0.82353,             0.48255,            0.041037,            0.023376,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.041783,            0.019023,                   0,             0.83669,             0.77629,             0.81973,              0.5057,            0.037293,             0.02361,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.039619,            0.017745,                   0,             0.85576,             0.79798,             0.83857,             0.48484,            0.039264,            0.023507,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.032256,            0.019011,                   0,             0.73458,             0.73737,              0.7958,             0.44544,            0.048344,            0.023752,                   0,             0.00769,             0.00769,             0.00769
                  72,             0.04809,            0.020016,                   0,             0.89893,             0.72727,             0.83049,              0.4954,            0.034099,            0.023183,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.039093,            0.021335,                   0,             0.61769,             0.75075,             0.65034,             0.34467,            0.042983,            0.024134,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.037132,             0.01734,                   0,             0.86393,             0.78788,             0.83755,             0.53013,            0.030997,            0.023497,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.030442,             0.01939,                   0,             0.65052,              0.7897,              0.7616,                 0.4,            0.045201,            0.024527,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.045029,            0.020671,                   0,             0.86708,             0.76768,             0.82278,             0.49353,            0.033274,            0.023367,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.036781,            0.019103,                   0,             0.86078,             0.80808,             0.85265,             0.43601,            0.035584,            0.023379,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.040995,            0.018578,                   0,             0.87976,             0.79798,             0.84856,             0.52395,            0.039138,            0.023498,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.032264,            0.019318,                   0,             0.88825,             0.80294,             0.84459,             0.55759,            0.043929,            0.022793,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.046189,            0.018352,                   0,             0.88042,             0.78788,             0.85321,             0.51957,            0.038439,             0.02327,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.039515,            0.017907,                   0,              0.8463,             0.79798,             0.84303,              0.4929,            0.037648,             0.02312,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.036752,            0.018438,                   0,             0.87639,             0.78788,             0.85999,             0.54942,            0.031032,             0.02277,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.028128,            0.018692,                   0,             0.78073,             0.63636,             0.78735,             0.45492,            0.039071,            0.022993,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.039694,            0.018733,                   0,             0.88007,             0.78788,             0.86069,             0.59664,            0.032709,            0.022131,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.034827,            0.018296,                   0,             0.84602,             0.80808,             0.85507,             0.50222,            0.036738,            0.022906,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.035934,             0.01887,                   0,             0.91319,             0.74747,             0.85248,             0.55683,            0.032252,            0.022985,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.029543,            0.018211,                   0,             0.56464,             0.76768,             0.69383,             0.39941,            0.040191,            0.023623,                   0,            0.007162,            0.007162,            0.007162
                  88,             0.04033,            0.019872,                   0,             0.84148,             0.80432,             0.84839,             0.53435,            0.032583,            0.022745,                   0,            0.007129,            0.007129,            0.007129
                  89,             0.03557,             0.02098,                   0,             0.85808,             0.79399,             0.85914,             0.52347,            0.032199,            0.022967,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.033078,            0.019201,                   0,             0.80088,             0.85318,             0.86217,             0.52961,            0.031769,            0.022764,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.026661,            0.017476,                   0,              0.8423,             0.80808,             0.85643,             0.51649,            0.040882,            0.023527,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.041512,            0.018388,                   0,             0.85737,             0.80808,             0.85436,             0.57833,            0.032848,            0.022623,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.034452,            0.017595,                   0,             0.84788,             0.80808,             0.85393,             0.53238,            0.034509,            0.023063,                   0,            0.006964,            0.006964,            0.006964
                  94,            0.034152,             0.01623,                   0,             0.82059,             0.83164,             0.86136,             0.58679,            0.031991,              0.0224,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.029008,             0.01717,                   0,              0.8758,             0.78788,             0.85686,              0.5154,            0.036912,            0.023589,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.036361,            0.016269,                   0,             0.88502,             0.77747,             0.85032,             0.53086,            0.030734,            0.023303,                   0,            0.006865,            0.006865,            0.006865
                  97,             0.03283,            0.018565,                   0,              0.9029,             0.75758,             0.84032,             0.52115,            0.032212,             0.02325,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.033444,            0.016239,                   0,             0.90986,             0.76768,             0.84192,             0.55665,            0.034856,            0.022985,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.029355,            0.017288,                   0,             0.84128,              0.8031,             0.86013,             0.53476,            0.034039,            0.022574,                   0,            0.006766,            0.006766,            0.006766
                 100,             0.03486,            0.017818,                   0,             0.85198,             0.81818,             0.86155,               0.518,            0.030989,            0.022028,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.031422,            0.017465,                   0,             0.90413,             0.76208,             0.86126,             0.51277,            0.029136,            0.022228,                   0,              0.0067,              0.0067,              0.0067
                 102,             0.03085,            0.017173,                   0,             0.90434,             0.76397,             0.86161,             0.54037,            0.032264,            0.022267,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.028391,            0.016586,                   0,              0.8944,             0.77001,             0.86069,             0.52709,            0.040276,            0.022862,                   0,            0.006634,            0.006634,            0.006634
                 104,             0.03718,            0.016467,                   0,             0.87372,             0.76877,             0.86161,             0.59024,            0.029331,            0.022464,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.032141,            0.016986,                   0,             0.87703,             0.79248,             0.84966,             0.52069,            0.034308,            0.023413,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.031461,            0.018436,                   0,             0.89509,             0.77565,             0.85827,             0.55984,            0.027154,            0.023308,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.025003,            0.017178,                   0,             0.91239,             0.73633,             0.83312,             0.50529,             0.03785,             0.02459,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.037732,            0.018324,                   0,             0.90852,             0.72727,             0.84439,             0.56988,             0.02949,            0.024488,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.033129,             0.01762,                   0,             0.85416,             0.76911,             0.84455,             0.51266,            0.035088,            0.024817,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.031997,            0.016357,                   0,              0.8301,             0.78963,             0.85189,             0.58958,             0.02756,            0.023267,                   0,            0.006403,            0.006403,            0.006403
                 111,            0.025734,            0.014987,                   0,             0.85096,             0.76768,             0.85163,             0.55856,            0.036133,            0.022464,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.036081,            0.015842,                   0,             0.85413,             0.75758,             0.84626,             0.54758,            0.033261,            0.022667,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.032696,            0.017329,                   0,             0.86224,             0.75868,             0.85434,             0.56827,            0.030457,            0.022111,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.030228,             0.01718,                   0,             0.85469,             0.77778,             0.84728,             0.53583,            0.029365,            0.022795,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.024183,            0.017316,                   0,             0.83208,             0.77778,             0.83582,             0.51122,            0.040519,            0.023178,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.038709,             0.01597,                   0,             0.82895,             0.78325,             0.84141,             0.59262,            0.028285,            0.022473,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.029555,            0.015543,                   0,             0.85482,             0.77321,             0.84017,             0.57269,            0.034048,            0.022819,                   0,            0.006172,            0.006172,            0.006172
                 118,             0.03034,            0.016719,                   0,             0.83623,             0.77368,             0.83962,              0.5799,            0.028013,            0.022605,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.025846,            0.015511,                   0,                0.86,             0.77778,             0.84823,             0.58012,            0.035523,             0.02314,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.034427,             0.01595,                   0,             0.78132,             0.83838,             0.84982,              0.5455,            0.031286,            0.023016,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.029099,             0.01628,                   0,             0.80678,             0.83838,             0.85383,             0.59027,            0.028171,            0.022602,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.029402,            0.016228,                   0,             0.79855,             0.84086,             0.84895,             0.54262,            0.031725,            0.023051,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.024413,            0.016573,                   0,             0.80451,             0.82828,             0.84736,             0.55406,            0.034847,            0.022731,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.033318,            0.017676,                   0,             0.78947,             0.83838,             0.85478,             0.55959,            0.029605,            0.022499,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.029689,            0.016203,                   0,             0.86026,             0.75758,             0.84828,             0.57883,            0.029151,            0.022665,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.030618,            0.016772,                   0,             0.87256,             0.76082,             0.85341,             0.58099,            0.032397,            0.022443,                   0,            0.005875,            0.005875,            0.005875
                 127,             0.02508,            0.016485,                   0,             0.78939,             0.83296,             0.84588,             0.55105,            0.032046,            0.022273,                   0,            0.005842,            0.005842,            0.005842
                 128,             0.03385,            0.015949,                   0,             0.80831,             0.80926,             0.86109,             0.57749,            0.028966,            0.021921,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.030423,            0.016649,                   0,             0.84725,             0.78788,             0.86249,              0.5812,            0.029292,            0.022061,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.029318,            0.016973,                   0,             0.79665,             0.85859,             0.85971,             0.55949,             0.03041,            0.022502,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.022971,            0.013886,                   0,             0.83396,             0.81818,             0.85379,             0.50251,            0.033315,            0.023504,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.032413,            0.016227,                   0,             0.81985,             0.82743,             0.85152,             0.56566,            0.030692,             0.02305,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.029518,            0.016616,                   0,              0.9024,             0.75758,             0.85979,             0.58528,             0.02886,            0.022049,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.02796,             0.01617,                   0,             0.90253,              0.7483,              0.8628,             0.55207,            0.029636,             0.02195,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.025434,            0.015097,                   0,             0.91562,             0.76723,             0.86431,             0.56684,            0.032891,            0.022116,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.029618,            0.016286,                   0,             0.91149,             0.76768,             0.86307,             0.57682,            0.025965,            0.022008,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.026389,            0.016406,                   0,             0.86891,             0.80347,             0.86949,             0.56767,            0.029514,            0.022246,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.027926,            0.016779,                   0,             0.89562,             0.77778,              0.8558,             0.56791,            0.026661,            0.022929,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.023832,            0.016823,                   0,             0.86243,             0.77778,             0.84894,             0.56425,            0.033781,            0.024064,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.033157,            0.015821,                   0,             0.88498,             0.76768,             0.83918,              0.5562,            0.028197,            0.023984,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.026021,            0.016676,                   0,             0.89038,             0.77778,             0.83849,             0.55973,            0.030264,            0.023942,                   0,             0.00538,             0.00538,             0.00538
                 142,             0.02484,            0.015492,                   0,             0.88288,             0.76145,             0.83924,             0.54885,            0.026746,            0.024099,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.023338,            0.015601,                   0,             0.90723,             0.76768,             0.83871,             0.54277,            0.030142,            0.024379,                   0,            0.005314,            0.005314,            0.005314
                 144,              0.0289,            0.015063,                   0,             0.91295,             0.76768,              0.8397,             0.57048,            0.026519,            0.024126,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.025025,            0.013759,                   0,             0.91177,             0.76768,             0.84094,             0.56287,            0.027604,            0.024577,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.027111,            0.015851,                   0,             0.91157,             0.76768,             0.84165,             0.58884,            0.026201,            0.024309,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.021863,            0.015058,                   0,             0.90419,              0.7626,               0.847,             0.58874,            0.030234,            0.024168,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.031147,            0.016607,                   0,             0.91313,             0.75758,             0.84057,             0.57302,            0.027438,            0.023749,                   0,            0.005149,            0.005149,            0.005149
